libaudio2:amd64	Network Audio System - shared libraries
libaudit-common	Dynamic library for security auditing - common files
libaudit1:amd64	Dynamic library for security auditing
libauthen-sasl-perl	Authen::SASL - SASL Authentication framework
libavahi-client3:amd64	Avahi client library
libavahi-common-data:amd64	Avahi common data files
libavahi-common3:amd64	Avahi common library
libavahi-core7:amd64	Avahi's embeddable mDNS/DNS-SD library
libavahi-glib1:amd64	Avahi GLib integration library
libavahi-ui-gtk3-0:amd64	Avahi GTK+ User interface library for GTK3
libavc1394-0:amd64	control IEEE 1394 audio/video devices
libavcodec-extra	FFmpeg library with extra codecs (metapackage)
libavcodec-extra57:amd64	FFmpeg library with additional de/encoders for audio/video codecs
libavfilter6:amd64	FFmpeg library containing media filters - runtime files
libavformat57:amd64	FFmpeg library with (de)muxers for multimedia containers - runtime files
libavresample3:amd64	FFmpeg compatibility library for resampling - runtime files
libavutil55:amd64	FFmpeg library with functions for simplifying programming - runtime files
libbabeltrace1:amd64	Babeltrace conversion libraries
libbabl-0.1-0:amd64	Dynamic, any to any, pixel format conversion library
libbdplus0:amd64	implementation of BD+ for reading Blu-ray Discs
libbind9-160:amd64	BIND9 Shared Library used by BIND
libbinutils:amd64	GNU binary utilities (private shared library)
libblas3:amd64	Basic Linear Algebra Reference implementations, shared library
libblkid1:amd64	block device ID library
libblockdev-crypto2:amd64	Crypto plugin for libblockdev
libblockdev-fs2:amd64	file system plugin for libblockdev
libblockdev-loop2:amd64	Loop device plugin for libblockdev
libblockdev-part-err2:amd64	Partition error utility functions for libblockdev
libblockdev-part2:amd64	Partitioning plugin for libblockdev
libblockdev-swap2:amd64	Swap plugin for libblockdev
libblockdev-utils2:amd64	Utility functions for libblockdev
libblockdev2:amd64	Library for manipulating block devices
libbluetooth3:amd64	Library to use the BlueZ Linux Bluetooth stack
libbluray2:amd64	Blu-ray disc playback support library (shared library)
libboost-date-time1.65.1:amd64	set of date-time libraries based on generic programming concepts
libboost-filesystem1.65.1:amd64	filesystem operations (portable paths, iteration over directories, etc) in C++
libboost-iostreams1.65.1:amd64	Boost.Iostreams Library
libboost-locale1.65.1:amd64	C++ facilities for localization
libboost-system1.65.1:amd64	Operating system (e.g. diagnostics support) library
libboost-thread1.65.1:amd64	portable C++ multi-threading
libbrasero-media3-1:amd64	CD/DVD burning library for GNOME - runtime
libbrlapi0.6:amd64	braille display access via BRLTTY - shared library
libbrotli1:amd64	library implementing brotli encoder and decoder (shared libraries)
libbs2b0:amd64	Bauer stereophonic-to-binaural DSP library
libbsd0:amd64	utility functions from BSD systems - shared library
libburn4:amd64	library to provide CD/DVD writing functions
libbz2-1.0:amd64	high-quality block-sorting file compressor library - runtime
libc-bin	GNU C Library: Binaries
libc-dev-bin	GNU C Library: Development binaries
libc6:amd64	GNU C Library: Shared libraries
libc6:i386	GNU C Library: Shared libraries
libc6-dbg:amd64	GNU C Library: detached debugging symbols
libc6-dev:amd64	GNU C Library: Development Libraries and Header Files
libcaca0:amd64	colour ASCII art library
libcairo-gobject-perl	integrate Cairo into the Glib type system in Perl
libcairo-gobject2:amd64	Cairo 2D vector graphics library (GObject library)
libcairo-perl	Perl interface to the Cairo graphics library
libcairo2:amd64	Cairo 2D vector graphics library
libcairomm-1.0-1v5:amd64	C++ wrappers for Cairo (shared libraries)
libcamd2:amd64	symmetric approximate minimum degree library for sparse matrices
libcamel-1.2-61:amd64	Evolution MIME message handling library
libcanberra-gtk3-0:amd64	GTK+ 3.0 helper for playing widget event sounds with libcanberra
libcanberra-gtk3-module:amd64	translates GTK3 widgets signals to event sounds
libcanberra-pulse:amd64	PulseAudio backend for libcanberra
libcanberra0:amd64	simple abstract interface for playing event sounds
libcap-ng0:amd64	An alternate POSIX capabilities library
libcap2:amd64	POSIX 1003.1e capabilities (library)
libcap2-bin	POSIX 1003.1e capabilities (utilities)
libcc1-0:amd64	GCC cc1 plugin for GDB
libccolamd2:amd64	constrained column approximate library for sparse matrices
libcdio-cdda2:amd64	library to read and control digital audio CDs
libcdio-paranoia2:amd64	library to read digital audio CDs with error correction
libcdio17:amd64	library to read and control CD-ROM
libcdparanoia0:amd64	audio extraction tool for sampling CDs (library)
libcdr-0.1-1:amd64	library for reading and converting Corel DRAW files
libcgi-fast-perl	CGI subclass for work with FCGI
libcgi-pm-perl	module for Common Gateway Interface applications
libcheese-gtk25:amd64	tool to take pictures and videos from your webcam - widgets
libcheese8:amd64	tool to take pictures and videos from your webcam - base library
libcholmod3:amd64	sparse Cholesky factorization library for sparse matrices
libchromaprint1:amd64	audio fingerprint library
libcilkrts5:amd64	Intel Cilk Plus language extensions (runtime)
libclass-accessor-perl	Perl module that automatically generates accessors
libclone-perl	module for recursively copying Perl datatypes
libclucene-contribs1v5:amd64	language specific text analyzers (runtime)
libclucene-core1v5:amd64	core library for full-featured text search engine (runtime)
libclutter-1.0-0:amd64	Open GL based interactive canvas library
libclutter-1.0-common	Open GL based interactive canvas library (common files)
libclutter-gst-3.0-0:amd64	Open GL based interactive canvas library GStreamer elements
libclutter-gtk-1.0-0:amd64	Open GL based interactive canvas library GTK+ widget
libcmis-0.5-5v5	CMIS protocol client library
libcogl-common	Object oriented GL/GLES Abstraction/Utility Layer (common files)
libcogl-pango20:amd64	Object oriented GL/GLES Abstraction/Utility Layer
libcogl-path20:amd64	Object oriented GL/GLES Abstraction/Utility Layer
libcogl20:amd64	Object oriented GL/GLES Abstraction/Utility Layer
libcolamd2:amd64	column approximate minimum degree ordering library for sparse matrices
libcolord-gtk1:amd64	GTK+ convenience library for interacting with colord
libcolord2:amd64	system service to manage device colour profiles -- runtime
libcolorhug2:amd64	library to access the ColorHug colourimeter -- runtime
libcom-err2:amd64	common error description library
libcrack2:amd64	pro-active password checker library
libcroco3:amd64	Cascading Style Sheet (CSS) parsing and manipulation toolkit
libcryptsetup12:amd64	disk encryption support - shared library
libcrystalhd3:amd64	Crystal HD Video Decoder (shared library)
libcups2:amd64	Common UNIX Printing System(tm) - Core library
libcupscgi1:amd64	Common UNIX Printing System(tm) - CGI library
libcupsfilters1:amd64	OpenPrinting CUPS Filters - Shared library
libcupsimage2:amd64	Common UNIX Printing System(tm) - Raster image library
libcupsmime1:amd64	Common UNIX Printing System(tm) - MIME library
libcupsppdc1:amd64	Common UNIX Printing System(tm) - PPD manipulation library
libcurl3-gnutls:amd64	easy-to-use client-side URL transfer library (GnuTLS flavour)
libcurl4:amd64	easy-to-use client-side URL transfer library (OpenSSL flavour)
libdaemon0:amd64	lightweight C library for daemons - runtime library
libdata-dump-perl	Perl module to help dump data structures
libdatrie1:amd64	Double-array trie library
libdazzle-1.0-0:amd64	feature-filled library for GTK+ and GObject
libdb5.3:amd64	Berkeley v5.3 Database Libraries [runtime]
libdbus-1-3:amd64	simple interprocess messaging system (library)
libdbus-glib-1-2:amd64	deprecated library for D-Bus IPC
libdbusmenu-glib4:amd64	library for passing menus over DBus
libdbusmenu-gtk3-4:amd64	library for passing menus over DBus - GTK+ version
libdbusmenu-gtk4:amd64	library for passing menus over DBus - GTK+ version
libdc1394-22:amd64	high level programming interface for IEEE 1394 digital cameras
libdca0:amd64	decoding library for DTS Coherent Acoustics streams
libdconf1:amd64	simple configuration storage system - runtime library
libde265-0:amd64	Open H.265 video codec implementation
libdebconfclient0:amd64	Debian Configuration Management System (C-implementation library)
libdee-1.0-4:amd64	model to synchronize multiple instances over DBus - shared lib
libdevmapper1.02.1:amd64	Linux Kernel Device Mapper userspace library
libdigest-hmac-perl	module for creating standard message integrity checks
libdjvulibre-text	Linguistic support files for libdjvulibre
libdjvulibre21:amd64	Runtime support for the DjVu image format
libdmapsharing-3.0-2:amd64	DMAP client and server library - runtime
libdns-export1100	Exported DNS Shared Library
libdns1100:amd64	DNS Shared Library used by BIND
libdotconf0:amd64	Configuration file parser library - runtime files
libdpkg-perl	Dpkg perl modules
libdrm-amdgpu1:amd64	Userspace interface to amdgpu-specific kernel DRM services -- runtime
libdrm-common	Userspace interface to kernel DRM services -- common files
libdrm-intel1:amd64	Userspace interface to intel-specific kernel DRM services -- runtime
libdrm-nouveau2:amd64	Userspace interface to nouveau-specific kernel DRM services -- runtime
libdrm-radeon1:amd64	Userspace interface to radeon-specific kernel DRM services -- runtime
libdrm2:amd64	Userspace interface to kernel DRM services -- runtime
libdv4:amd64	software library for DV format digital video (runtime lib)
libdvd-pkg	DVD-Video playing library - installer
libdvdcss-dev:amd64	library for accessing encrypted DVDs - development files
libdvdcss2:amd64	library for accessing encrypted DVDs
libdvdnav4:amd64	DVD navigation library
libdvdread4:amd64	library for reading DVDs
libdw1:amd64	library that provides access to the DWARF debug information
libe-book-0.1-1:amd64	library for reading and converting various	e-book formats
libebackend-1.2-10:amd64	Utility library for evolution data servers
libebook-1.2-19:amd64	Client library for evolution address books
libebook-contacts-1.2-2:amd64	Client library for evolution contacts books
libecal-1.2-19:amd64	Client library for evolution calendars
libedata-book-1.2-25:amd64	Backend library for evolution address books
libedata-cal-1.2-28:amd64	Backend library for evolution calendars
libedataserver-1.2-23:amd64	Utility library for evolution data servers
libedataserverui-1.2-2:amd64	Utility library for evolution data servers
libedit2:amd64	BSD editline and history libraries
libefiboot1:amd64	Library to manage UEFI variables
libefivar1:amd64	Library to manage UEFI variables
libegl-mesa0:amd64	free implementation of the EGL API -- Mesa vendor library
libegl1:amd64	Vendor neutral GL dispatch library -- EGL support
libegl1-mesa:amd64	transitional dummy package
libelf1:amd64	library to read and write ELF files
libemail-valid-perl	Perl module for checking the validity of Internet email addresses
libenchant1c2a:amd64	Wrapper library for various spell checker engines (runtime libs)
libencode-locale-perl	utility to determine the locale encoding
libeot0:amd64	Library for parsing/converting Embedded OpenType files
libepoxy0:amd64	OpenGL function pointer management library
libepubgen-0.1-1:amd64	EPUB generator library
libespeak-ng1:amd64	Multi-lingual software speech synthesizer: shared library
libestr0:amd64	Helper functions for handling strings (lib)
libetonyek-0.1-1:amd64	library for reading and converting Apple Keynote presentations
libevdev2:amd64	wrapper library for evdev devices
libevdocument3-4:amd64	Document (PostScript, PDF) rendering library
libevent-2.1-6:amd64	Asynchronous event notification library
libevview3-3:amd64	Document (PostScript, PDF) rendering library - Gtk+ widgets
libexempi3:amd64	library to parse XMP metadata (Library)
libexif12:amd64	library to parse EXIF files
libexiv2-14:amd64	EXIF/IPTC/XMP metadata manipulation library
libexpat1:amd64	XML parsing C library - runtime library
libexporter-tiny-perl	tiny exporter similar to Sub::Exporter
libext2fs2:amd64	ext2/ext3/ext4 file system libraries
libexttextcat-2.0-0:amd64	Language detection library
libexttextcat-data	Language detection library - data files
libfaad2:amd64	freeware Advanced Audio Decoder - runtime files
libfakeroot:amd64	tool for simulating superuser privileges - shared libraries
libfastjson4:amd64	fast json library for C
libfcgi-perl	helper module for FastCGI
libfdisk1:amd64	fdisk partitioning library
libffi6:amd64	Foreign Function Interface library runtime
libfftw3-double3:amd64	Library for computing Fast Fourier Transforms - Double precision
libfftw3-single3:amd64	Library for computing Fast Fourier Transforms - Single precision
libfile-basedir-perl	Perl module to use the freedesktop basedir specification
libfile-copy-recursive-perl	Perl extension for recursively copying files and directories
libfile-desktopentry-perl	Perl module to handle freedesktop .desktop files
libfile-fcntllock-perl	Perl module for file locking with fcntl(2)
libfile-listing-perl	module to parse directory listings
libfile-mimeinfo-perl	Perl module to determine file types
libfile-stripnondeterminism-perl	file non-deterministic information stripper — Perl module
libflac8:amd64	Free Lossless Audio Codec - runtime C library
libflite1:amd64	Small run-time speech synthesis engine - shared libraries
libfluidsynth1:amd64	Real-time MIDI software synthesizer (runtime library)
libfont-afm-perl	Font::AFM - Interface to Adobe Font Metrics files
libfontconfig1:amd64	generic font configuration library - runtime
libfontembed1:amd64	OpenPrinting CUPS Filters - Font Embed Shared library
libfontenc1:amd64	X11 font encoding library
libfreehand-0.1-1	Library for parsing the FreeHand file format structure
libfreerdp-client2-2:amd64	Free Remote Desktop Protocol library (client library)
libfreerdp2-2:amd64	Free Remote Desktop Protocol library (core library)
libfreetype6:amd64	FreeType 2 font engine, shared library files
libfribidi0:amd64	Free Implementation of the Unicode BiDi algorithm
libfuse2:amd64	Filesystem in Userspace (library)
libfwup1:amd64	Library to manage UEFI firmware updates
libfwupd2:amd64	Firmware update daemon library
libgail-3-0:amd64	GNOME Accessibility Implementation Library -- shared libraries
libgail-common:amd64	GNOME Accessibility Implementation Library -- common modules
libgail18:amd64	GNOME Accessibility Implementation Library -- shared libraries
libgbm1:amd64	generic buffer management API -- runtime
libgc1c2:amd64	conservative garbage collector for C and C++
libgcab-1.0-0:amd64	Microsoft Cabinet file manipulation library
libgcc-7-dev:amd64	GCC support library (development files)
libgcc1:amd64	GCC support library
libgcc1:i386	GCC support library
libgck-1-0:amd64	Glib wrapper library for PKCS#11 - runtime
libgcr-base-3-1:amd64	Library for Crypto related tasks
libgcr-ui-3-1:amd64	Library for Crypto UI related tasks
libgcrypt20:amd64	LGPL Crypto library - runtime library
libgd3:amd64	GD Graphics Library
libgdata-common	Library for accessing GData webservices - common data files
libgdata22:amd64	Library for accessing GData webservices - shared libraries
libgdbm-compat4:amd64	GNU dbm database routines (legacy support runtime version) 
libgdbm5:amd64	GNU dbm database routines (runtime version) 
libgdk-pixbuf2.0-0:amd64	GDK Pixbuf library
libgdk-pixbuf2.0-bin	GDK Pixbuf library (thumbnailer)
libgdk-pixbuf2.0-common	GDK Pixbuf library - data files
libgdm1	GNOME Display Manager (shared library)
libgee-0.8-2:amd64	GObject based collection and utility library
libgegl-0.3-0:amd64	Generic Graphics Library
libgeoclue-2-0:amd64	convenience library to interact with geoinformation service
libgeocode-glib0:amd64	geocoding and reverse geocoding GLib library using Nominatim
libgeoip1:amd64	non-DNS IP-to-country resolver library
libgexiv2-2:amd64	GObject-based wrapper around the Exiv2 library
libgfortran4:amd64	Runtime library for GNU Fortran applications
libgimp2.0	Libraries for the GNU Image Manipulation Program
libgirepository-1.0-1:amd64	Library for handling GObject introspection data (runtime library)
libgjs0g	Mozilla-based javascript bindings for the GNOME platform
libgl1:amd64	Vendor neutral GL dispatch library -- legacy GL support
libgl1-mesa-dri:amd64	free implementation of the OpenGL API -- DRI modules
libgl1-mesa-glx:amd64	transitional dummy package
libglapi-mesa:amd64	free implementation of the GL API -- shared library
libgles2:amd64	Vendor neutral GL dispatch library -- GLESv2 support
libglib-object-introspection-perl	Perl bindings for gobject-introspection libraries
libglib-perl	interface to the GLib and GObject libraries
libglib2.0-0:amd64	GLib library of C routines
libglib2.0-bin	Programs for the GLib library
libglib2.0-data	Common files for GLib library
libglib2.0-dev:amd64	Development files for the GLib library
libglib2.0-dev-bin	Development utilities for the GLib library
libglibmm-2.4-1v5:amd64	C++ wrapper for the GLib toolkit (shared libraries)
libglu1-mesa:amd64	Mesa OpenGL utility library (GLU)
libglvnd0:amd64	Vendor neutral GL dispatch library
libglx-mesa0:amd64	free implementation of the OpenGL API -- GLX vendor library
libglx0:amd64	Vendor neutral GL dispatch library -- GLX support
libgme0:amd64	Playback library for video game music files - shared library
libgmime-2.6-0:amd64	MIME message parser and creator library (old 2.6 version)
libgmime-3.0-0:amd64	MIME message parser and creator library
libgmp10:amd64	Multiprecision arithmetic library
libgnome-autoar-0-0:amd64	Archives integration support for GNOME
libgnome-bluetooth13:amd64	GNOME Bluetooth tools - support library
libgnome-desktop-3-17:amd64	Utility library for loading .desktop files - runtime files
libgnome-games-support-1-3:amd64	library for common functions of GNOME games
libgnome-games-support-common	library for common functions of GNOME games (common files)
libgnome-menu-3-0:amd64	GNOME implementation of the freedesktop menu specification
libgnome-todo	library data for GNOME To Do
libgnomekbd-common	GNOME library to manage keyboard configuration - common files
libgnomekbd8:amd64	GNOME library to manage keyboard configuration - shared library
libgnustep-base1.25	GNUstep Base library
libgnutls30:amd64	GNU TLS library - main runtime library
libgoa-1.0-0b:amd64	library for GNOME Online Accounts
libgoa-1.0-common	library for GNOME Online Accounts - common files
libgoa-backend-1.0-1:amd64	backend library for GNOME Online Accounts
libgom-1.0-0:amd64	Object mapper from GObjects to SQLite
libgomp1:amd64	GCC OpenMP (GOMP) support library
libgpg-error0:amd64	library for common error values and messages in GnuPG components
libgpgme11:amd64	GPGME - GnuPG Made Easy (library)
libgpgmepp6:amd64	C++ wrapper library for GPGME
libgphoto2-6:amd64	gphoto2 digital camera library
libgphoto2-l10n	gphoto2 digital camera library - localized messages
libgphoto2-port12:amd64	gphoto2 digital camera port library
libgpm2:amd64	General Purpose Mouse - shared library
libgpod-common	common files for libgpod
libgpod4:amd64	library to read and write songs and artwork to an iPod
libgranite-common	extension of GTK+ libraries (common files)
libgranite4:amd64	extension of GTK+ libraries
libgraphene-1.0-0:amd64	library of graphic data types
libgraphite2-3:amd64	Font rendering engine for Complex Scripts -- library
libgraphite2-dev:amd64	Development files for libgraphite2
libgrilo-0.3-0:amd64	Framework for discovering and browsing media - Shared libraries
libgs9:amd64	interpreter for the PostScript language and for PDF - Library
libgs9-common	interpreter for the PostScript language and for PDF - common files
libgsl23:amd64	GNU Scientific Library (GSL) -- library package
libgslcblas0:amd64	GNU Scientific Library (GSL) -- blas library package
libgsm1:amd64	Shared libraries for GSM speech compressor
libgspell-1-1:amd64	spell-checking library for GTK+ applications
libgspell-1-common	libgspell architecture-independent files
libgssapi-krb5-2:amd64	MIT Kerberos runtime libraries - krb5 GSS-API Mechanism
libgssapi3-heimdal:amd64	Heimdal Kerberos - GSSAPI support library
libgssdp-1.0-3:amd64	GObject-based library for SSDP
libgstreamer-gl1.0-0:amd64	GStreamer GL libraries
libgstreamer-plugins-bad1.0-0:amd64	GStreamer libraries from the "bad" set
libgstreamer-plugins-base1.0-0:amd64	GStreamer libraries from the "base" set
libgstreamer-plugins-good1.0-0:amd64	GStreamer development files for libraries from the "good" set
libgstreamer1.0-0:amd64	Core GStreamer libraries and elements
libgtk-3-0:amd64	GTK+ graphical user interface library
libgtk-3-bin	programs for the GTK+ graphical user interface library
libgtk-3-common	common files for the GTK+ graphical user interface library
libgtk2.0-0:amd64	GTK+ graphical user interface library
libgtk2.0-bin	programs for the GTK+ graphical user interface library
libgtk2.0-common	common files for the GTK+ graphical user interface library
libgtk3-perl	Perl bindings for the GTK+ graphical user interface library
libgtkmm-2.4-1v5:amd64	C++ wrappers for GTK+ (shared libraries)
libgtksourceview-3.0-1:amd64	shared libraries for the GTK+ syntax highlighting widget
libgtksourceview-3.0-common	common files for the GTK+ syntax highlighting widget
libgtkspell0:amd64	spell-checking addon for GTK's TextView widget
libgtkspell3-3-0:amd64	spell-checking addon for GTK+'s TextView widget
libgtop-2.0-11:amd64	gtop system monitoring library (shared)
libgtop2-common	gtop system monitoring library (common)
libgudev-1.0-0:amd64	GObject-based wrapper library for libudev
libgupnp-1.0-4:amd64	GObject-based library for UPnP
libgupnp-igd-1.0-4:amd64	library to handle UPnP IGD port mapping
libgusb2:amd64	GLib wrapper around libusb1
libgutenprint2	runtime for the Gutenprint printer driver library
libgweather-3-15:amd64	GWeather shared library
libgweather-common	GWeather common files
libgxps2:amd64	handling and rendering XPS documents (library)
libharfbuzz-dev:amd64	Development files for OpenType text shaping engine
libharfbuzz-gobject0:amd64	OpenType text shaping engine ICU backend (GObject library)
libharfbuzz-icu0:amd64	OpenType text shaping engine ICU backend
libharfbuzz0b:amd64	OpenType text shaping engine (shared library)
libhcrypto4-heimdal:amd64	Heimdal Kerberos - crypto library
libheimbase1-heimdal:amd64	Heimdal Kerberos - Base library
libheimntlm0-heimdal:amd64	Heimdal Kerberos - NTLM support library
libhogweed4:amd64	low level cryptographic library (public-key cryptos)
libhpmud0:amd64	HP Multi-Point Transport Driver (hpmud) run-time libraries
libhtml-form-perl	module that represents an HTML form element
libhtml-format-perl	module for transforming HTML into various formats
libhtml-parser-perl	collection of modules that parse HTML text documents
libhtml-tagset-perl	Data tables pertaining to HTML
libhtml-tree-perl	Perl module to represent and create HTML syntax trees
libhttp-cookies-perl	HTTP cookie jars
libhttp-daemon-perl	simple http server class
libhttp-date-perl	module of date conversion routines
libhttp-message-perl	perl interface to HTTP style messages
libhttp-negotiate-perl	implementation of content negotiation
libhunspell-1.6-0:amd64	spell checker and morphological analyzer (shared library)
libhx509-5-heimdal:amd64	Heimdal Kerberos - X509 support library
libhyphen0:amd64	ALTLinux hyphenation library - shared library
libibus-1.0-5:amd64	Intelligent Input Bus - shared library
libical3:amd64	iCalendar library implementation in C (runtime)
libice6:amd64	X11 Inter-Client Exchange library
libicu-dev	Development files for International Components for Unicode
libicu-le-hb-dev:amd64	ICU Layout Engine API on top of HarfBuzz shaping library (development)
libicu-le-hb0:amd64	ICU Layout Engine API on top of HarfBuzz shaping library
libicu60:amd64	International Components for Unicode
libiculx60:amd64	International Components for Unicode
libidn11:amd64	GNU Libidn library, implementation of IETF IDN specifications
libidn2-0:amd64	Internationalized domain names (IDNA2008/TR46) library
libiec61883-0:amd64	partial implementation of IEC 61883 (shared lib)
libieee1284-3:amd64	cross-platform library for parallel port access
libijs-0.35:amd64	IJS raster image transport protocol: shared library
libilmbase12:amd64	several utility libraries from ILM used by OpenEXR
libimage-magick-perl	Perl interface to the ImageMagick graphics routines
libimage-magick-q16-perl	Perl interface to the ImageMagick graphics routines -- Q16 version
libimobiledevice6:amd64	Library for communicating with the iPhone and iPod Touch
libindicator3-7	panel indicator applet - shared library
libindicator7	panel indicator applet - shared library
libinput-bin	input device management and event handling library - udev quirks
libinput10:amd64	input device management and event handling library - shared library
libio-html-perl	open an HTML file with automatic charset detection
libio-pty-perl	Perl module for pseudo tty IO
libio-socket-inet6-perl	object interface for AF_INET6 domain sockets
libio-socket-ssl-perl	Perl module implementing object oriented interface to SSL sockets
libio-string-perl	Emulate IO::File interface for in-core strings
libip4tc0:amd64	netfilter libip4tc library
libip6tc0:amd64	netfilter libip6tc library
libipc-run-perl	Perl module for running processes
libipc-system-simple-perl	Perl module to run commands simply, with detailed diagnostics
libiptc0:amd64	netfilter libiptc library
libirs160:amd64	DNS Shared Library used by BIND
libisc-export169:amd64	Exported ISC Shared Library
libisc169:amd64	ISC Shared Library used by BIND
libisccc160:amd64	Command Channel Library used by BIND
libisccfg160:amd64	Config File Handling Library used by BIND
libisl19:amd64	manipulating sets and relations of integer points bounded by linear constraints
libisofs6:amd64	library to create ISO 9660 images
libitm1:amd64	GNU Transactional Memory Library
libiw30:amd64	Wireless tools - library
libjack-jackd2-0:amd64	JACK Audio Connection Kit (libraries)
libjansson4:amd64	C library for encoding, decoding and manipulating JSON data
libjavascriptcoregtk-4.0-18:amd64	JavaScript engine library from WebKitGTK+
libjbig0:amd64	JBIGkit libraries
libjbig2dec0:amd64	JBIG2 decoder library - shared libraries
libjpeg-turbo8:amd64	IJG JPEG compliant runtime library.
libjpeg62:amd64	Independent JPEG Group's JPEG runtime library (version 6.2)
libjpeg8:amd64	Independent JPEG Group's JPEG runtime library (dependency package)
libjs-jquery	JavaScript library for dynamic web applications
libjs-sphinxdoc	JavaScript support for Sphinx documentation
libjs-underscore	JavaScript's functional programming helper library
libjson-c3:amd64	JSON manipulation library - shared library
libjson-glib-1.0-0:amd64	GLib JSON manipulation library
libjson-glib-1.0-common	GLib JSON manipulation library (common files)
libjte1:amd64	Jigdo Template Export - runtime library
libk5crypto3:amd64	MIT Kerberos runtime libraries - Crypto Library
libkate1:amd64	Codec for karaoke and text encapsulation
libkeybinder-3.0-0:amd64	registers global key bindings for applications - Gtk+3
libkeyutils1:amd64	Linux Key Management Utilities (library)
libklibc	minimal libc subset for use with initramfs
libkmod2:amd64	libkmod shared library
libkpathsea6:amd64	TeX Live: path search library for TeX (runtime part)
libkrb5-26-heimdal:amd64	Heimdal Kerberos - libraries
libkrb5-3:amd64	MIT Kerberos runtime libraries
libkrb5support0:amd64	MIT Kerberos runtime libraries - Support library
libksba8:amd64	X.509 and CMS support library
liblangtag-common	library to access tags for identifying languages -- data
liblangtag1:amd64	library to access tags for identifying languages
liblapack3:amd64	Library of linear algebra routines 3 - shared version
liblcms2-2:amd64	Little CMS 2 color management library
liblcms2-utils	Little CMS 2 color management library (utilities)
libldap-2.4-2:amd64	OpenLDAP libraries
libldap-common	OpenLDAP common files for libraries
libldb1:amd64	LDAP-like embedded database - shared library
liblilv-0-0	library for simple use of LV2 plugins
liblirc-client0:amd64	infra-red remote control support - client library
liblist-moreutils-perl	Perl module with additional list functions not found in List::Util
libllvm6.0:amd64	Modular compiler and toolchain technologies, runtime library
libllvm8:amd64	Modular compiler and toolchain technologies, runtime library
libllvm9:amd64	Modular compiler and toolchain technologies, runtime library
liblocale-gettext-perl	module using libc functions for internationalization in Perl
liblouis-data	Braille translation library - data
liblouis14:amd64	Braille translation library - shared libs
liblouisutdml-bin	Braille UTDML translation utilities
liblouisutdml-data	Braille UTDML translation library - data
liblouisutdml8:amd64	Braille UTDML translation library - shared libs
liblqr-1-0:amd64	converts plain array images into multi-size representation
liblsan0:amd64	LeakSanitizer -- a memory leak detector (runtime)
libltdl-dev:amd64	System independent dlopen wrapper for GNU libtool
libltdl7:amd64	System independent dlopen wrapper for GNU libtool
liblua5.3-0:amd64	Shared library for the Lua interpreter version 5.3
liblwp-mediatypes-perl	module to guess media type for a file or a URL
liblwp-protocol-https-perl	HTTPS driver for LWP::UserAgent
liblwres160:amd64	Lightweight Resolver Library used by BIND
liblz4-1:amd64	Fast LZ compression algorithm library - runtime
liblzma5:amd64	XZ-format compression library
liblzma5:i386	XZ-format compression library
liblzo2-2:amd64	data compression library
libmagic-mgc	File type determination library using "magic" numbers (compiled magic file)
libmagic1:amd64	Recognize the type of data in a file using "magic" numbers - library
libmagick++-6.q16-7:amd64	C++ interface to ImageMagick -- quantum depth Q16
libmagickcore-6.q16-3:amd64	low-level image manipulation library -- quantum depth Q16
libmagickcore-6.q16-3-extra:amd64	low-level image manipulation library - extra codecs (Q16)
libmagickwand-6.q16-3:amd64	image manipulation library -- quantum depth Q16
libmail-sendmail-perl	simple way to send email from a perl script
libmailtools-perl	Manipulate email in perl programs
libmbim-glib4:amd64	Support library to use the MBIM protocol
libmbim-proxy	Proxy to communicate with MBIM ports
libmediaart-2.0-0:amd64	media art extraction and cache management library
libmessaging-menu0:amd64	Messaging Menu - shared library
libmetis5:amd64	Serial Graph Partitioning and Fill-reducing Matrix Ordering
libmhash2:amd64	Library for cryptographic hashing and message authentication
libminiupnpc10:amd64	UPnP IGD client lightweight library
libmjpegutils-2.1-0	MJPEG capture/editing/replay and MPEG encoding toolset (library)
libmm-glib0:amd64	D-Bus service for managing modems - shared libraries
libmms0:amd64	MMS stream protocol library - shared library
libmng2:amd64	Multiple-image Network Graphics library
libmnl0:amd64	minimalistic Netlink communication library
libmodplug1:amd64	shared libraries for mod music based on ModPlug
libmount1:amd64	device mounting library
libmozjs-52-0:amd64	SpiderMonkey JavaScript library
libmp3lame-dev:amd64	MP3 encoding library (development)
libmp3lame0:amd64	MP3 encoding library
libmpc3:amd64	multiple precision complex floating-point library
libmpcdec6:amd64	MusePack decoder - library
libmpdec2:amd64	library for decimal floating point arithmetic (runtime library)
libmpeg2-4:amd64	MPEG1 and MPEG2 video decoder library
libmpeg2encpp-2.1-0	MJPEG capture/editing/replay and MPEG encoding toolset (library)
libmpfr6:amd64	multiple precision floating-point computation
libmpg123-0:amd64	MPEG layer 1/2/3 audio decoder (shared library)
libmplex2-2.1-0	MJPEG capture/editing/replay and MPEG encoding toolset (library)
libmpx2:amd64	Intel memory protection extensions (runtime)
libmspack0:amd64	library for Microsoft compression formats (shared library)
libmspub-0.1-1:amd64	library for parsing the mspub file structure
libmtdev1:amd64	Multitouch Protocol Translation Library - shared library
libmtp-common	Media Transfer Protocol (MTP) common files
libmtp-runtime	Media Transfer Protocol (MTP) runtime tools
libmtp9:amd64	Media Transfer Protocol (MTP) library
